Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5569.9,0,41:50.5,03:46.2,2.21,00:00.0,0,29,581,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4878021,-0.6530667
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,3515,0,32:49.1,01:25.2,5.87,00:00.0,0,41.5,357,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4988633,-0.6754528
1,3523,0,32:50.5,01:27.3,5.73,00:00.0,0,41.5,358,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4988194,-0.6753605
1,3532,0,32:52.1,01:27.7,5.7,00:00.0,0,41,359,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4987713,-0.6752573
1,3540,0,32:53.5,01:28.8,5.63,00:00.0,0,41.5,360,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4987273,-0.6751646
1,3549,0,32:55.1,01:28.5,5.65,00:00.0,0,39.5,361,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4986778,-0.6750626
1,3557,0,32:56.5,01:28.8,5.63,00:00.0,0,40,362,8,0,---,---,---,---,---,---,---,---,---,---,51.498633,-0.6749717
1,3566,0,32:58.1,01:29.3,5.6,00:00.0,0,40.5,363,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4985829,-0.6748709
1,3574.1,0,32:59.5,01:29.1,5.61,00:00.0,0,39.5,364,8.1,0,---,---,---,---,---,---,---,---,---,---,51.498537,-0.6747802
1,3583.1,0,33:01.1,01:28.7,5.64,00:00.0,0,39.5,365,9,0,---,---,---,---,---,---,---,---,---,---,51.4984866,-0.6746791
1,3591.1,0,33:02.5,01:28.8,5.63,00:00.0,0,39.5,366,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4984414,-0.6745882
1,3600.1,0,33:04.1,01:29.3,5.6,00:00.0,0,39.5,367,9,0,---,---,---,---,---,---,---,---,---,---,51.4983911,-0.674486
1,3608.3,0,33:05.5,01:29.0,5.62,00:00.0,0,39,368,8.2,0,---,---,---,---,---,---,---,---,---,---,51.498345,-0.6743944
